years_before_present,co2_ppm,sigma
5.97,368.02,0.06
9,361.78,0.37
10.72,359.65,0.1
12.59,357.11,0.16
13.92,353.95,0.04
14.69,353.72,0.22
15.87,352.42,0.1
17.03,350.81,0.16
17.59,349.8,0.14
18.03,349.28,0.13
18.93,347.6,0.4
19.79,345.44,0.03
20.38,344.72,0.09
20.86,343.97,0.06
21.24,343.11,0.14
22.08,342.05,0.46
23.92,341.33,0.1
23.97,339.46,0.3
27.86,334.85,0.37
30.2,335.55,0.63
30.33,332.37,1.27
31.43,332.37,0.04
32.87,331.55,0.63
34.91,328.42,0.63
34.96,330.35,2.21
36.13,326.31,1.34
36.34,326.65,1.16
36.36,324.91,0.18
36.78,324.56,0.63
37.58,324.71,0.63
38.02,325.08,0.63
38.19,324.09,0.63
38.46,320.38,1.16
40.21,320.49,1.16
40.45,322.17,1.34
41.13,320.98,1.74
41.7,319.2,0.95
41.77,319.89,0.63
43.44,319.12,0.94
43.8,319.07,0.63
44.38,318.61,0.9
44.46,317.45,0.63
44.6,319.14,0.63
44.68,317.52,0.63
45.28,316.59,0.64
46.43,318.21,1.72
46.69,313.09,1.81
47.91,311.98,1.81
48.44,316.33,0.94
48.9,316.1,1.72
49.13,314.57,0.41
49.74,315.27,1.16
49.8,316.33,0.13
49.9,314.44,0.79
50.84,315.34,0.64
52.2,314.71,2.21
53.21,313.17,0.63
53.29,312.8,0.63
53.44,312.22,1.42
54.62,312.18,0.41
56.75,312,0.64
57.33,313.66,2.21
58.23,309.69,0.41
59.29,311.57,2.21
60.34,310.36,0.63
60.37,312.87,2.21
61.38,312.56,2.21
61.44,311.97,2.08
61.61,311.81,3.12
62.04,310.44,2.56
62.24,311.28,0.41
62.49,310.22,0.63
63.43,312.36,2.21
64.79,311.88,2.77
64.96,312.84,2.56
65.22,312.39,2.21
66.16,311.8,2.21
66.25,307.74,1.16
67.03,309.8,0.64
67.41,310.95,0.63
67.78,311.21,0.63
68.03,310.46,2.17
68.84,308.48,0.64
68.87,311.94,1.34
69.13,311.52,2.21
69.23,312.33,0.13
70.14,307.41,1.16
71.13,309.34,2.87
71.29,307.26,1.16
71.94,306.32,1.16
73.12,309.63,0.63
73.41,307.08,2.56
74.22,305.94,1.16
74.46,308.28,2.21
74.71,308.26,0.63
76.17,305.74,1.45
77.61,305.38,0.07
78.26,305.78,0.64
78.46,305.71,0.94
78.84,305.67,0.64
79.2,308.02,3.18
81.69,304.97,0.63
82.25,304.72,1.72
84.16,306.2,3.82
84.49,303.18,0.94
87.29,301.88,1.16
88.33,304.61,2.21
89.13,303.85,0.67
91.21,301.92,0.63
92.61,300.7,2.45
94.48,301.3,0.63
95.71,299.26,1.72
95.9,297.73,1.72
96.28,298.11,2.56
97.24,297.87,1.16
98.48,301.5,2.21
101.23,299.63,0.64
101.46,297.33,0.63
101.65,299.02,0.63
103.09,295.99,0.94
105.3,295.61,1.33
106.82,294.22,1.16
108.06,297.05,2.21
108.34,295.28,0.63
113.24,293.81,0.94
113.34,293.17,1.72
113.94,295.32,0.64
114.12,294.86,1.72
114.61,295.17,0.63
117.13,290.92,1.16
117.99,292.34,0.68
119.61,294.34,0.63
121.4,288.12,2.01
122.82,289.23,0.62
123.21,289.76,0.94
124.08,292.46,0.95
127.05,287.77,1.16
130.09,289.33,0.63
133.26,291.56,2.21
134.17,286.66,1.34
136.96,286.33,1.16
137.34,287.99,0.63
138.59,289.54,1.72
139.27,287.99,0.41
140.26,285.05,1.68
142.87,286.65,1.16
144.02,285.35,0.94
145.17,287.17,0.63
148.16,286.63,0.41
150.38,283.16,1.16
152.28,285.57,0.63
153.29,288.05,2.21
155.89,285.47,0.63
156.17,288.79,0.41
156.74,284,1.16
159.68,286.84,0.64
161.1,283.62,1.34
162.35,283.18,1.16
162.54,283.53,1.16
163.71,281.58,1.16
166.17,283.65,0.63
170.3,284.15,0.94
173.82,283.82,0.94
174.13,285.09,0.95
180.08,285.91,0.64
182.26,281.36,0.94
193.34,284.43,0.94
207.66,282.8,0.79
210.53,280.4,1.72
211.06,282.3,0.63
212.9,281.62,0.94
226.7,273.07,0.41
227.51,280.24,0.63
233.54,277.86,0.94
243.3,276.4,0.94
244.12,277.16,0.63
254.87,278,0.63
255.07,276.46,0.94
257.88,277.6,0.63
265.74,276.81,0.94
273.13,278.31,0.94
283.99,277.01,0.94
284.14,278.27,1.27
312.93,277.36,0.63
317.26,276.32,0.94
325.11,276.66,0.63
357.9,278.02,0.63
367.19,276.69,0.94
378.4,273.78,0.41
397.54,271.11,0.41
403.58,275.07,0.63
416.01,279.36,0.95
418.82,281.11,0.94
433.99,282.57,0.64
447.14,281.83,0.94
457.35,283.53,1.27
477.32,283.95,0.64
505.47,283.12,0.64
537.6,280.31,1.27
557.84,282.23,0.95
578.2,279.73,0.41
596.14,279.7,0.94
616.67,280.91,0.63
658.15,278.36,0.41
676.88,284.07,0.64
699.55,281.58,0.94
728.8,278.43,0.41
747.49,282.2,0.94
755.73,282.41,0.63
796.05,283.69,0.94
807.19,284.54,0.64
841.02,283.97,1.41
860.71,284.51,1.27
891.39,282.84,0.94
907.59,283.09,0.64
936.8,282.84,0.94
957.82,280.97,0.63
966.92,280.92,0.94
987.73,280.06,0.63
989.42,279.8,1.34
1024.35,278.74,1.41
1049.35,277.41,0.41
1092.87,280.11,2.21
1131.59,279.42,1.41
1184.67,278.62,1.41
1213.9,279.72,2.21
1244.7,279.29,2.21
1276.57,279.99,0.41
1305.75,277.1,0.41
1337.82,278.45,0.41
1370,279.59,0.41
1392.48,277.87,0.41
1424.59,276.2,0.41
1449.53,278.46,3.85
1455.38,276.56,0.41
1489.04,276.79,0.94
1518.87,277.11,0.41
1570.06,280,0.41
1600.64,279.13,0.41
1622.77,277.25,0.41
1649.67,277.8,0.41
1689.45,281.69,0.41
1711.4,280.91,0.41
1732.56,280.24,2.56
1740.9,278.31,0.62
1766.4,280.25,0.62
1832.47,277.56,0.41
1853.47,278.07,0.41
1871,278.1,1
1903,277.5,1
1951,277.4,1
1977,277.9,1
2006,276.7,1
2056.71,278,1.2
2150.36,276.9,0.7
2291.24,276.7,0.8
2322.55,276.7,0.8
2471.32,277.6,1.3
2583.12,277.9,0.5
2685.02,273.9,1.1
2765.48,278.9,0.6
2858.76,275.3,1.6
2961.55,274.7,1.2
3005.82,276.3,0.9
3113.6,274.6,0.8
3312.73,276.3,1.5
3340.66,273.1,1.1
3488.12,274,0.3
3585.29,275,0.6
3701.46,273.4,1.3
3750.41,273,0.8
3863.86,271.5,1
3913.17,275.4,0.5
4025.95,274.9,1.3
4165.67,271.7,1
4262.84,271.6,0.7
4332.08,272.8,0.8
4399.82,271.5,0.9
4551.36,271.1,0.8
4649.82,269.1,0.6
4704.46,269.8,1
4830,271.5,0.8
4978.2,270.7,0.5
5038.58,269.3,1
5143.79,268.6,1.1
5275.57,269.8,1.2
5368.18,267.6,0.6
5414.55,265.3,1.7
5590.29,265.2,0.8
5638.3,267.6,2
5814.61,265.9,0.9
5909.26,265.5,0.8
5991.09,260.7,1.6
6056.38,266.7,0.9
6146.81,265.5,0.8
6358.96,263.2,0.6
6394.21,262.7,0.9
6458.24,261.2,0.7
6629.29,261.1,0.4
6739.55,259.4,0.6
6826.65,262.1,0.9
6937.31,262.9,0.5
7027.08,258.1,1.4
7095.27,257.6,0.9
7245.07,262.3,0.9
7331.01,263,0.7
7462.32,260.7,0.6
7554.87,258.4,0.8
7718.37,260.1,0.6
7776.59,260.4,0.4
7917.18,259.7,0.9
7983.37,259.2,0.7
8032.85,260.8,1.4
8173.28,259.6,0.5
8251.8,259.3,0.9
8408.88,258.3,1.2
8516.68,261.3,0.9
8603.58,260.7,0.4
8767.68,261.8,1
8838.28,259,1.1
8968.85,260.9,0.7
9049.99,260.4,0.6
9117.17,259.3,1
9200.01,262,0.8
9352.31,263.7,1.2
9418.12,263.8,0.8
9493.7,265.2,0.9
9575.06,260.6,1.7
9581.44,260.9,0.6
9612.86,263,0.4
